epoch,training loss,training acc,test acc,computation time,,,,,
1,0.87560302,0.633351102,0.760392992,0.572673082,,,,,
2,0.558000684,0.792788291,0.759079072,0.318687439,,,,,
3,0.476284564,0.826553616,0.80337358,0.307178974,,,,,
4,0.432106644,0.843475147,0.820052083,0.294977188,,,,,
5,0.400398612,0.854846859,0.816808712,0.317537308,,,,,
6,0.379996508,0.861218461,0.82960464,0.322138309,,,Computation Time,DPCNN-Glove,CNN-GloVe
7,0.359202594,0.869100369,0.834836648,0.299472809,,,1.3156,,
8,0.344684988,0.874361452,0.823733428,0.312905312,,,1.9734,,
9,0.33155182,0.879189432,0.827864583,0.304186106,,,2.6312,,88.0622633
10,0.326403558,0.881021788,0.833380682,0.332304001,,,3.289,,
11,0.308416903,0.887782072,0.83116714,0.312166452,,,3.9468,,
12,0.302408546,0.889947584,0.829107481,0.307177544,,,4.6046,87.874053,
13,0.296742499,0.892121424,0.830196496,0.302191973,,,5.2624,,89.124053
14,0.286062568,0.895700071,0.830445076,0.304180861,,,5.9202,,
15,0.285440415,0.895886083,0.830587121,0.330285788,,,6.578,,
16,0.275828749,0.900755708,0.832658617,0.480805159,,,7.2358,,
17,0.273353726,0.900475302,0.833013731,0.374998569,,,7.8936,,89.3122633
18,0.266079992,0.903118337,0.834422348,0.325899124,,,8.5514,88.0338542,
19,0.260857731,0.905111718,0.83897964,0.325137377,,,9.2092,,
20,0.256341815,0.906427683,0.827071496,0.308205843,,,9.867,,
21,0.253918797,0.907141191,0.826621686,0.306181431,,,10.5248,,89.9822443
22,0.253525883,0.907949094,0.832694129,0.299628258,,,11.1826,,
23,0.247171313,0.909778674,0.82734375,0.295564651,,,11.8404,,
24,0.245056093,0.910267302,0.829415246,0.299189806,,,12.4982,89.3394413,
25,0.241127908,0.911996935,0.829663826,0.314922333,,,13.156,,90.0095
26,0.238970563,0.913071362,0.835594223,0.313682795,,,13.8138,,
27,0.237681061,0.912502221,0.826893939,0.323911667,,,14.4716,,
28,0.23256743,0.914673285,0.828574811,0.297076225,,,15.1294,,
29,0.234457269,0.913654384,0.822526042,0.341358423,,,15.7872,,
30,0.230565876,0.915020322,0.829675663,0.298990488,,,16.445,89.8212595,
31,0.225753859,0.917680015,0.826953125,0.303187609,,,17.1028,,
32,0.224646524,0.916897099,0.82491714,0.314290285,,,17.7606,,
33,0.223010272,0.918335221,0.827024148,0.294454575,,,18.4184,,
34,0.22148937,0.918746113,0.824479167,0.312576771,,,19.0762,,
35,0.220972329,0.919037624,0.831877367,0.305184364,,,19.734,90.13,
36,0.221886158,0.917605055,0.829498106,0.297042131,,,,,
37,0.217991129,0.920159248,0.814098011,0.295209885,,,,,
38,0.219160408,0.919115361,0.827971117,0.292218685,,,,,
39,0.214784205,0.921133729,0.832339015,0.293215752,,,,,
40,0.214507684,0.920758929,0.826538826,0.317248106,,,,,
41,0.211316764,0.922510772,0.825177557,0.298056841,,,,,
42,0.213688836,0.921664001,0.831711648,0.312427521,,,,,
43,0.214513108,0.920142591,0.824230587,0.30156827,,,,,
44,0.213318467,0.921122623,0.824585701,0.310255289,,,,,
45,0.210496679,0.921736185,0.829651989,0.309956074,,,,,
46,0.209566176,0.922921664,0.831297348,0.30219245,,,,,
47,0.208043277,0.923429726,0.830527936,0.359258175,,,,,
48,0.206199259,0.923785092,0.825035511,0.303615808,,,,,
49,0.208893418,0.923252043,0.820276989,0.304186106,,,,,
50,0.206086561,0.923701803,0.826988636,0.306533098,,,,,
,,,0.83897964,15.97629309,,,,,
