epoch,training loss,training acc,test acc,computation time,ad,re
1,0.650836885,0.77157404,0.828041498,1.090120316,0.11,0.938041498
2,0.556244969,0.799326554,0.83609432,1.185865641,0.11,0.94609432
3,0.544397354,0.803521595,0.837405908,1.18183732,0.11,0.947405908
4,0.537491977,0.805435272,0.833847921,1.187275648,0.11,0.943847921
5,0.538610995,0.804857261,0.836120796,1.093697548,0.11,0.946120796
6,0.536315739,0.805123772,0.838524016,1.078813314,0.11,0.948524016
7,0.535324395,0.806410478,0.840151281,1.066509247,0.11,0.950151281
8,0.533461869,0.806724863,0.839159443,1.096823692,0.11,0.949159443
9,0.534066737,0.806185186,0.842287702,1.065736771,0.11,0.952287702
10,0.533300877,0.806673089,0.839519926,1.079972982,0.11,0.949519926
11,0.531932116,0.807221092,0.840635998,1.035193205,0.11,0.950635998
12,0.533039927,0.807108789,0.841984245,1.184724808,0.11,0.951984245
13,0.532745183,0.806778336,0.839953728,1.066101789,0.11,0.949953728
14,0.532029569,0.807010083,0.842399717,1.082446098,0.11,0.952399717
15,0.532763362,0.807143981,0.840853917,1.127242804,0.11,0.950853917
16,0.532808125,0.806804088,0.838436441,1.098668337,0.11,0.948436441
17,0.530915976,0.807663677,0.841322341,1.205768824,0.11,0.951322341
18,0.530847013,0.807416033,0.839281641,1.112583637,0.11,0.949281641
19,0.532726228,0.806949897,0.837650303,1.129539967,0.11,0.947650303
20,0.53105402,0.808019124,0.83746497,1.133708,0.11,0.94746497
21,0.533486366,0.806449583,0.841181814,1.12711072,0.11,0.951181814
22,0.532656014,0.807396138,0.839428278,1.084428072,0.11,0.949428278
23,0.531719625,0.807106233,0.841841681,1.096777678,0.11,0.951841681
24,0.529614985,0.80872492,0.840837624,1.116322756,0.11,0.950837624
25,0.530777037,0.807702954,0.837430347,1.082360268,0.11,0.947430347
26,0.529623628,0.807867016,0.840450665,1.113755465,0.11,0.950450665
27,0.531085849,0.807803016,0.839094271,1.112498283,0.11,0.949094271
28,0.531952083,0.80678275,0.839238872,1.157376051,0.11,0.949238872
29,0.529464483,0.808482275,0.838664543,1.06737709,0.11,0.948664543
30,0.531719089,0.807347592,0.840719499,1.076841831,0.11,0.950719499
,,,0.842399717,,0.11,0.952399717
