epoch,training loss,training acc,test acc,computation time,add,result
1,0.629752338,0.772198226,0.829236998,2.432497263,0.1,0.929236998
2,0.5015288,0.815371672,0.830135151,2.364270687,0.1,0.930135151
3,0.481144994,0.822340251,0.839308117,2.353180885,0.1,0.939308117
4,0.472305685,0.825448812,0.839426242,2.336671352,0.1,0.939426242
5,0.464852214,0.827767582,0.842662441,2.406254053,0.1,0.942662441
6,0.461889625,0.828854076,0.84050769,2.376899719,0.1,0.94050769
7,0.459542006,0.829258569,0.847385379,2.355166435,0.1,0.947385379
8,0.455717981,0.830399809,0.847236705,2.374103546,0.1,0.947236705
9,0.455493748,0.8309388,0.846206172,2.350168705,0.1,0.946206172
10,0.453829736,0.83123856,0.843949589,2.35163641,0.1,0.943949589
11,0.450270683,0.832405979,0.846002509,2.432824135,0.1,0.946002509
12,0.449642718,0.832991473,0.847582931,2.383517265,0.1,0.947582931
13,0.450203478,0.832049674,0.846674596,2.41458416,0.1,0.946674596
14,0.449231803,0.833757627,0.845701088,2.441474438,0.1,0.945701088
15,0.447057486,0.833650851,0.844548358,2.371326208,0.1,0.944548358
16,0.447483093,0.833458124,0.846195989,2.384571314,0.1,0.946195989
17,0.447472453,0.833453525,0.845544268,2.358695507,0.1,0.945544268
18,0.446430773,0.833663691,0.850079836,2.445463896,0.1,0.950079836
19,0.446872503,0.834072955,0.850493271,2.479398966,0.1,0.950493271
20,0.44646129,0.834168076,0.847411855,2.31199193,0.1,0.947411855
21,0.44426772,0.834406864,0.839128894,2.354095697,0.1,0.939128894
22,0.446073323,0.833967779,0.843367114,2.809673309,0.1,0.943367114
23,0.445620269,0.833813657,0.845888458,2.413547277,0.1,0.945888458
24,0.445235223,0.833900965,0.84781307,2.41705513,0.1,0.94781307
25,0.44418785,0.834096407,0.848912849,2.399431229,0.1,0.948912849
26,0.443584323,0.834839008,0.845566671,2.415186405,0.1,0.945566671
27,0.444085181,0.834608375,0.843866088,2.539438486,0.1,0.943866088
28,0.444311768,0.834275708,0.842348801,2.526279926,0.1,0.942348801
29,0.444334358,0.834655893,0.849664364,2.422524214,0.1,0.949664364
30,0.443362266,0.834725777,0.849356833,2.461321592,0.1,0.949356833
,,,0.850493271,,,0.950493271
