epoch,training loss,training acc,test acc,computation time
1,1.378949761,0.550030094,0.570157358,1.545871735
2,1.315352321,0.571708389,0.572994238,1.547863245
3,1.304788113,0.574825151,0.580003324,1.55951786
4,1.30054903,0.575847961,0.577349291,1.606656313
5,1.297933936,0.576765062,0.581216755,1.521742821
6,1.296482325,0.577455031,0.579992243,1.579014778
7,1.294857025,0.578202854,0.576579122,1.551209211
8,1.293295264,0.57804048,0.580197252,1.561258554
9,1.292707562,0.578443557,0.581238918,1.774257421
10,1.291157126,0.579077337,0.57840758,1.637657166
11,1.290505409,0.579371134,0.579526817,1.590779305
12,1.290630341,0.579314708,0.581837323,1.549857855
13,1.290015459,0.579347563,0.58337766,1.623659849
14,1.290773273,0.579245425,0.582574246,1.618671417
15,1.289242029,0.579312089,0.58444703,1.594738722
,,,0.58444703,
